"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"839157743068020740","","","2017-03-07 16:56:11 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new #karting#perols#montpellier#tropbeaux https://t.co/pCfSQjNXFx https://t.co/KC0KLvAhx1","","","","http://ift.tt/2mxGBJM,https://twitter.com/taggaddaaaa/status/839157743068020740/photo/1"
"839157736835321857","","","2017-03-07 16:56:09 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new #karting#perols#montpellier#tropbeaux https://t.co/84fjsMTW9X https://t.co/wkumErr9Aj","","","","http://ift.tt/2lTyNy6,https://twitter.com/taggaddaaaa/status/839157736835321857/photo/1"
"839128369153343488","","","2017-03-07 14:59:28 +0000","<a href=""http://job.francesurf.net/"" rel=""nofollow"">la recherche d'emploi par km</a>","Annonce CDI Montpellier: DÉVELOPPEURS JAVA (H/F) - Montpellier
https://t.co/pRCYNyyWLU via @MontpellierJobs","","","","http://www.francesurf.net/offre-emploi-developpeurs-java-montpellier_10800148.htm"
"839097442012434432","","","2017-03-07 12:56:34 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new #karting#nouveau#perols https://t.co/4wt9SuTrPU https://t.co/2DJoG3GWPG","","","","http://ift.tt/2lAcGkK,https://twitter.com/taggaddaaaa/status/839097442012434432/photo/1"
"839097432738779136","","","2017-03-07 12:56:32 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new #karting#nouveau#perols https://t.co/jGpRM3fK4p https://t.co/jx59hQ7M1U","","","","http://ift.tt/2lXXxpP,https://twitter.com/taggaddaaaa/status/839097432738779136/photo/1"
"835057208710791168","","","2017-02-24 09:22:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Just joined @wittycircle, where the world meets #entrepreneurs url=https://t.co/tdZhEAXq56 VERY NICE PROJECT!!","","","","https://www.wittycircle.com"
"833956728647581697","","","2017-02-21 08:29:12 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new Hihi!! E.T. chercher #lockarting#montpellier https://t.co/Qn4tVKQY3P https://t.co/aZbaCMWlhd","","","","http://ift.tt/2kTKkwE,https://twitter.com/taggaddaaaa/status/833956728647581697/photo/1"
"833956719793422336","","","2017-02-21 08:29:10 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new Hihi!! E.T. chercher #lockarting#montpellier https://t.co/Oq0kgyRty0 https://t.co/gDap2szJrx","","","","http://ift.tt/2lGw9ja,https://twitter.com/taggaddaaaa/status/833956719793422336/photo/1"
"831627727237165057","","","2017-02-14 22:14:35 +0000","<a href=""http://job.francesurf.net/"" rel=""nofollow"">la recherche d'emploi par km</a>","Annonce CDI Montpellier: Développeur .NET- Montpellier (34) (H/F)
https://t.co/GvloIzxWzp 
Compte à suivre : @MontpellierJobs","","","","http://www.francesurf.net/offre-emploi-developpeur-montpellier-34_10430691.htm"
"831563998718021632","","","2017-02-14 18:01:21 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new #lockartingvolantmontpellier https://t.co/gyp5blUKFK https://t.co/m7v2Xd5vlq","","","","http://ift.tt/2lMALQZ,https://twitter.com/taggaddaaaa/status/831563998718021632/photo/1"
"831563992942465025","","","2017-02-14 18:01:20 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new #lockartingvolantmontpellier https://t.co/SXyaouCY4v https://t.co/k4VwaL36am","","","","http://ift.tt/2lHbZWm,https://twitter.com/taggaddaaaa/status/831563992942465025/photo/1"
"831563987854749698","","","2017-02-14 18:01:19 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/K6HL1QYk48 https://t.co/qgwRf4qfKE","","","","http://ift.tt/2lMCHcc,https://twitter.com/taggaddaaaa/status/831563987854749698/photo/1"
"831563981533937664","","","2017-02-14 18:01:17 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/IQeoBMOw8W https://t.co/rOj2Yo9jar","","","","http://ift.tt/2lH9oM9,https://twitter.com/taggaddaaaa/status/831563981533937664/photo/1"
"831563975145959426","","","2017-02-14 18:01:16 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/0ibQQYMEv6 https://t.co/Swlv6Oxb8K","","","","http://ift.tt/2lMIHlu,https://twitter.com/taggaddaaaa/status/831563975145959426/photo/1"
"831563968753836038","","","2017-02-14 18:01:14 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/QZHdH1ajzy https://t.co/tKZ6ExiOTL","","","","http://ift.tt/2lMu2GD,https://twitter.com/taggaddaaaa/status/831563968753836038/photo/1"
"831563963120885764","","","2017-02-14 18:01:13 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/nUVepazT6a https://t.co/1Rhxe0NR5C","","","","http://ift.tt/2lGZeLI,https://twitter.com/taggaddaaaa/status/831563963120885764/photo/1"
"831563957567635456","","","2017-02-14 18:01:11 +0000","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","#new  https://t.co/Cwp1BvKbmv https://t.co/FPKtl4IQEg","","","","http://ift.tt/2lMECh1,https://twitter.com/taggaddaaaa/status/831563957567635456/photo/1"
